;obj_regio3;long;obj_street;obj_baseRent;geo_plz;obj_livingSpace;lat;rel_baseRent;culture;s-stations;university;food;nightlife;spareTime;transportations
306;Grünau-Nord;12.263639342155805;Am kleinen Feld;390,0;4205,0;90,73;51.31969863262629;4,298467981924391;1;0;2;2;3;0;3
307;Anger-Crottendorf;12.42031580184951;"Stegerwaldstra&szlig;e";480,0;4318,0;65,17;51.334978587088095;7,365352155899954;0;1;0;1;2;1;4
308;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;770,0;4229,0;70,02;51.325854944381724;10,99685804055984;10;0;1;15;4;6;5
309;Stötteritz;12.419279789729785;"Arnoldstra&szlig;e";450,0;4299,0;60,0;51.32007983846599;7,5;4;0;0;6;2;8;4
310;Eutritzsch;12.392791222892154;"Hamburger Stra&szlig;e";319,0;4129,0;46,18;51.3629924201589;6,907752273711562;0;0;3;4;1;0;5
311;Lützschena-Stahmeln;12.292104896148656;Bahnstr.;325,0;4159,0;55,97;51.390094578422;5,806682151152402;0;1;0;0;0;0;1
312;Lausen-Grünau;12.2700928273163;Deiwitzweg;400,0;4207,0;69,0;51.3112941545879;5,797101449275362;0;0;0;0;0;2;2
313;Grünau-Mitte;12.29818705187093;"Ringstra&szlig;e";330,0;4209,0;70,24;51.31467954188022;4,698177676537585;0;0;1;5;0;4;4
314;Grünau-Mitte;12.293968196495998;"Ringstra&szlig;e";496,0;4209,0;90,21;51.314806810545996;5,498281786941581;0;0;4;1;1;8;2
315;Heiterblick;12.472289066854986;Hermelinplatz;736,0;4329,0;93,0;51.359018056165105;7,913978494623656;0;0;1;1;0;1;2
316;Stötteritz;12.41489867485281;"Holzh&auml;user Str.";435,0;4299,0;64,4;51.31989512639723;6,754658385093168;4;0;1;4;2;5;4
317;Grünau-Nord;12.263445483897247;Am kleinen Feld;215,0;4205,0;32,65;51.318707124887354;6,58499234303216;1;0;2;1;1;0;3
318;Schönefeld-Abtnaundorf;12.41392597515411;"Heinrich-Schmidt-Stra&szlig;e";540,0;4347,0;77,4;51.352037154437106;6,9767441860465125;0;0;0;7;0;3;2
319;Dölitz-Dösen;12.394355913222244;"Newtonstra&szlig;e";370,0;4279,0;59,24;51.28677354866642;6,2457798784605005;0;0;0;1;2;4;5
320;Möckern;12.350891625926387;Fehmarner Str.;1198,27;4157,0;144,37;51.38529445695276;8,299993073353187;0;0;0;2;1;1;1
321;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;1449,0;4229,0;159,2;51.325854944381724;9,10175879396985;10;0;1;15;4;6;5
322;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;770,0;4229,0;70,02;51.325854944381724;10,99685804055984;10;0;1;15;4;6;5
323;Grünau-Mitte;12.299407600049713;"Ringstra&szlig;e";215,0;4209,0;32,61;51.31520372977899;6,593069610548913;0;0;1;3;0;2;4
324;Eutritzsch;12.38604956905165;"Delitzscher Stra&szlig;e";330,0;4129,0;44,82;51.3728885886401;7,362784471218205;1;0;3;1;3;2;3
325;Wahren;12.323046304486525;Linkelstr.;439,0;4159,0;62,96;51.37585337075029;6,972681067344348;0;0;0;5;3;1;4
326;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;749,0;4229,0;66,62;51.325854944381724;11,242870009006305;10;0;1;15;4;6;5
327;Connewitz;12.380467145293512;"Hildebrandstra&szlig;e";410,0;4277,0;50,8;51.3042282561616;8,070866141732283;4;0;0;4;5;4;4
328;Möckern;12.350891625926387;Fehmarner Str.;1163,23;4157,0;136,85;51.38529445695276;8,500036536353672;0;0;0;2;1;1;1
329;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;1265,0;4229,0;129,69;51.325854944381724;9,754028837998304;10;0;1;15;4;6;5
330;Plagwitz;12.33722800946593;Erich-Zeigner-Allee;1092,0;4229,0;99,23;51.3259056122762;11,004736470825355;8;0;1;17;4;6;5
331;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;1052,0;4229,0;95,59;51.325854944381724;11,005335286117797;10;0;1;15;4;6;5
332;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;783,0;4229,0;69,61;51.325854944381724;11,2483838528947;10;0;1;15;4;6;5
333;Grünau-Mitte;12.297784677727346;"Ringstra&szlig;e";230,0;4209,0;32,61;51.3159747276723;7,053051211284883;0;0;1;2;0;2;3
334;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;1031,0;4229,0;95,92;51.325854944381724;10,74854045037531;10;0;1;15;4;6;5
335;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;1457,0;4229,0;159,95;51.325854944381724;9,109096592685217;10;0;1;15;4;6;5
336;Möckern;12.350874744976187;Fehmarner Str.;531,59;4157,0;57,16;51.38524913899972;9,30003498950315;0;0;0;2;1;1;1
337;Plagwitz;12.336555104913064;Erich-Zeigner-Allee;606,0;4229,0;53,85;51.325854944381724;11,253481894150417;10;0;1;15;4;6;5
338;Grünau-Mitte;12.296687109768891;"Ringstra&szlig;e";340,0;4209,0;56,4;51.314398140738;6,0283687943262425;0;0;1;2;0;6;4
339;Grünau-Mitte;12.297436628969118;"Ringstra&szlig;e";351,0;4209,0;70,24;51.314529721921254;4,9971526195899765;0;0;1;2;0;2;4
340;Grünau-Mitte;12.296679533189845;"Ringstra&szlig;e";295,0;4209,0;49,12;51.317201337263896;6,0057003257328985;1;0;4;2;0;4;3
